key,value,count,percent_of_total_changes_for_key
building,pavilion,12,0.0
building,toilets,12,0.0
building,24,11,0.0
building,Office,11,0.0
building,stupa,11,0.0
building,transportation,11,0.0
building,Bank,10,0.0
building,Educational_Consultant,10,0.0
building,Residential,10,0.0
building,Restaurant,10,0.0
building,bank,10,0.0
building,building+construction,10,0.0
building,bus_garage,10,0.0
building,panel_house,10,0.0
building,Computers,9,0.0
building,Espace educatif,9,0.0
building,Non-Profit_Organization,9,0.0
building,bridge,9,0.0
building,building=yes,9,0.0
building,container,9,0.0
building,digester,9,0.0
building,dormitory,9,0.0
building,fire_station,9,0.0
building,sports_centre,9,0.0
building,Computer_Training_School,8,0.0
building,Ecole,8,0.0
building,Health@post,8,0.0
building,Toilette,8,0.0
building,constructions,8,0.0
building,dentist,8,0.0
building,tomb,8,0.0
building,Association_or_Organization,7,0.0
building,Internet,7,0.0
building,Internet_Cafe,7,0.0
building,Internet_Marketing_Service,7,0.0
building,building=construction,7,0.0
building,collapsed?,7,0.0
building,concrete,7,0.0
building,destroyed,7,0.0
building,gate,7,0.0
building,plastic et bois,7,0.0
building,restaurant,7,0.0
building,Bldg no. 6,6,0.0
building,Hotel,6,0.0
building,Non-governmental_Organisation,6,0.0
building,Residence of Pakistan,6,0.0
building,Shopping_Mall,6,0.0
building,Web_Hosting_Company,6,0.0
building,academic,6,0.0
building,cinema,6,0.0
building,kindergarden,6,0.0
building,no_roof,6,0.0
building,plastic  et  bois,6,0.0
building,stable,6,0.0
building,wall,6,0.0
building,"was marked as building, but looks more like a camp",6,0.0
building,Clothing_Store,5,0.0
building,Company,5,0.0
building,Computer_Repair_Service,5,0.0
building,Entertainment,5,0.0
building,Health,5,0.0
building,My Home,5,0.0
building,University,5,0.0
building,building_under_construction,5,0.0
building,collasped,5,0.0
building,manufacture,5,0.0
building,risky,5,0.0
building,villa,5,0.0
building,yes33,5,0.0
building,yesS,5,0.0
building,yy,5,0.0
building,3,4,0.0
building,BDRC,4,0.0
building,Bing,4,0.0
building,Commercial,4,0.0
building,Computer_Store,4,0.0
building,Educational_Institution,4,0.0
building,Internet_Service_Provider,4,0.0
building,Language_School,4,0.0
building,Marketing_Agency,4,0.0
building,No,4,0.0
building,Plastique,4,0.0
building,Solar_Energy_Equipment_Supplier,4,0.0
building,Srevice,4,0.0
building,Video_Production_Service,4,0.0
building,abandoned,4,0.0
building,arch,4,0.0
building,castle,4,0.0
building,exhibition_airplane,4,0.0
building,hall,4,0.0
building,historic,4,0.0
building,kinder garden,4,0.0
building,kioske,4,0.0
building,military,4,0.0
building,not sure,4,0.0
building,plastique,4,0.0
building,shop,4,0.0
building,Administrative office,3,0.0
building,Assuming_its_a_building,3,0.0
building,C.V Raman Auditorium,3,0.0
building,CONSTRUCTION,3,0.0
building,Campsite,3,0.0
building,Church,3,0.0
building,College,3,0.0
building,Education,3,0.0
building,Eglise,3,0.0
building,Employment_Agency,3,0.0
building,Engineering_Consultant,3,0.0
building,Event_Planner,3,0.0
building,Health facility,3,0.0
building,Health post,3,0.0
building,Hostel,3,0.0
building,Hotel_Norbu_Linka,3,0.0
building,Human_Resource_Consulting,3,0.0
building,Industrial_Equipment_Supplier,3,0.0
building,Moonstone_Education_and_Migration_Services,3,0.0
building,NGO,3,0.0
building,Tour_Operator,3,0.0
building,Travel_Services,3,0.0
building,allotment_house,3,0.0
building,building_with_walls,3,0.0
building,color lab,3,0.0
building,cowshed,3,0.0
building,damaged?,3,0.0
building,exehibition aiplaine,3,0.0
building,gasometer,3,0.0
building,monastery,3,0.0
building,monument,3,0.0
building,offices,3,0.0
building,pharmacy,3,0.0
building,plaza,3,0.0
building,religious,3,0.0
building,residentiel,3,0.0
building,school 1,3,0.0
building,slurry_tank,3,0.0
building,sports_hall,3,0.0
building,tes,3,0.0
building,tole,3,0.0
building,water_tower?,3,0.0
building,zes,3,0.0
building,.,2,0.0
building,18,2,0.0
building,2,2,0.0
building,5,2,0.0
building,6,2,0.0
building,7,2,0.0
building,9,2,0.0
building,Accountant,2,0.0
building,Attorney,2,0.0
building,Banking_and_Finance,2,0.0
building,Bara resturant and thakali kitchen,2,0.0
building,Bhim Plaza,2,0.0
building,Blood_Donation_Center,2,0.0
building,Blue_Ocean_Hotel,2,0.0
building,Book_Store,2,0.0
building,Brownfield,2,0.0
